epoch,learning_rate,loss,rmse,val_loss,val_rmse
0,0.0007999999797903001,8518.0205078125,92.29312133789062,9827.7177734375,99.13484954833984
1,0.0007999999797903001,6330.9365234375,79.56718444824219,7922.35791015625,89.00762939453125
2,0.0007999999797903001,6057.34033203125,77.82891845703125,7682.869140625,87.6519775390625
3,0.0007999999797903001,6024.36767578125,77.6167984008789,7333.38525390625,85.63518524169922
4,0.0007999999797903001,5893.4453125,76.7687759399414,7367.822265625,85.83602142333984
5,0.0007999999797903001,5817.638671875,76.27344512939453,7530.47021484375,86.77828216552734
6,0.0007999999797903001,5814.9658203125,76.25592041015625,7268.44482421875,85.25517272949219
7,0.0007999999797903001,5725.74560546875,75.66865539550781,7551.70458984375,86.90054321289062
8,0.0007999999797903001,5750.13330078125,75.82963562011719,7207.5908203125,84.89752960205078
9,0.0007999999797903001,5683.6533203125,75.39000701904297,7195.08935546875,84.8238754272461
10,0.0007999999797903001,5645.1123046875,75.13396453857422,7214.76611328125,84.93978118896484
11,0.0007999999797903001,5622.8037109375,74.98535919189453,7088.607421875,84.1938705444336
12,0.0007999999797903001,5609.7060546875,74.8979721069336,7249.02001953125,85.14117431640625
13,0.0007999999797903001,5632.79931640625,75.0519790649414,7237.7626953125,85.07504272460938
14,0.0007999999797903001,5566.4150390625,74.60841369628906,7339.54833984375,85.6711654663086
15,0.0007999999797903001,5581.0869140625,74.70667266845703,7360.31201171875,85.7922592163086
16,0.0004799999878741801,5480.49560546875,74.0303726196289,7102.4248046875,84.27588653564453
17,0.0004799999878741801,5496.328125,74.13722229003906,7230.13037109375,85.0301742553711
18,0.0004799999878741801,5475.70068359375,73.99797821044922,7234.81005859375,85.05768585205078
19,0.0004799999878741801,5441.00634765625,73.76317596435547,7323.81103515625,85.57926940917969
0,0.0007999999797903001,8532.3720703125,92.37084197998047,9760.265625,98.79405975341797
1,0.0007999999797903001,6351.06787109375,79.69358825683594,8045.27880859375,89.69548034667969
2,0.0007999999797903001,6109.99169921875,78.16643524169922,7243.2587890625,85.10733795166016
3,0.0007999999797903001,5931.41845703125,77.01570129394531,7423.0625,86.15719604492188
4,0.0007999999797903001,5836.23876953125,76.39527893066406,7439.953125,86.25516510009766
5,0.0007999999797903001,5797.5419921875,76.14159393310547,7284.3994140625,85.34869384765625
6,0.0007999999797903001,5731.7041015625,75.70801544189453,7384.76220703125,85.93463897705078
7,0.0004799999878741801,5664.53125,75.26307678222656,7266.01708984375,85.24093627929688
